character,pronunciation,romaji,type,audio_url
あ,"""ahh""",a,Hiragana ,https://0.tqn.com/z/g/japanese/library/media/audio/a.mp3
い,"like ""e"" in ""eat""",i,Hiragana ,
う,"like ""oo"" in ""food""",u,Hiragana ,
え,"like ""e"" in ""bed""",e,Hiragana ,
お,"""oh""",o,Hiragana ,
か,"""kah"" ",ka,Hiragana ,
き,"""kee""",ki,Hiragana ,
く,"""koo"" ",ku,Hiragana ,
け,"like ""ke"" in ""ketchup""",ke,Hiragana ,
こ,"like ""co"" in ""coat""",ko,Hiragana ,
が,"""gah"" like ""ga"" in ""gallbladder""",ga,Hiragana ,
ぎ,"""gee"" like ""gee"" in ""geese""",gi,Hiragana ,
ぐ,"""goo"" like ""goo"" in ""goon""",gu,Hiragana ,
げ,"""geh"" like ""ge"" in ""get""",ge,Hiragana ,
ご,"""goh"" like ""go""",go,Hiragana ,
さ,"""sah"" like ""Saw""",sa,Hiragana ,
し,"""shee"" like ""She""",shi,Hiragana ,
す,"""soo"" like ""Sue""",su ,Hiragana ,
せ,"like ""se"" in ""set""",se,Hiragana ,
そ,"""soh""",so,Hiragana ,
ざ,"""zah"" like ""zo"" in ""zombie""",za,Hiragana ,
じ,"""jee"" like ""ge"" in ""genius""",ji,Hiragana ,
ず,"""zoo"" like ""zoo""",zu,Hiragana ,
ぜ,"""zeh"" like ""ze"" in ""zest""",ze,Hiragana ,
ぞ,"""zoh"" like ""zo"" in ""zone""",zo,Hiragana ,
た,"like ""ta"" in ""tall""",ta,Hiragana ,
ち,"like ""che"" in ""cheat""",chi,Hiragana ,
つ,"like ""tzu"" in ""shih tzu""",tsu,Hiragana ,
て,"like ""te"" in ""tell""",te,Hiragana ,
と,"""toh"" like ""toe""",to,Hiragana ,
だ,"""dah"" like ""da"" in ""daunting""",da,Hiragana ,
ぢ,same as じ,ji,Hiragana ,
づ,same as ず,zu,Hiragana ,
で,"""deh"" like ""de"" in ""dent""",de,Hiragana ,
ど,"""doh"" like ""dough""",do,Hiragana ,
な,"""nah"" like ""no"" in ""not""",na,Hiragana ,
に,"like ""nee"" in ""knee""",ni,Hiragana ,
ぬ,"""noo"" like ""new""",nu,Hiragana ,
ね,"""neh"" like ""ne"" in ""net""",ne,Hiragana ,
の,"""noh"" like ""no""",no,Hiragana ,
は,"like ""ha"" in haunt",ha,Hiragana ,
ひ,"""hee"" like ""he""",hi,Hiragana ,
ふ,"""foo""",fu,Hiragana ,
へ,"""heh"" like ""he"" in ""head""",he,Hiragana ,
ほ,"""hoh"" like ""hoe""",ho,Hiragana ,
ば,"""bah"" like ""ba"" in ""ball""",ba,Hiragana ,
び,"""bee""",bi,Hiragana ,
ぶ,"""boo"" like ""boo"" in ""boot""",bu,Hiragana ,
べ,"""beh"" like ""be"" in ""bed""",be,Hiragana ,
ぼ,"""boh"" like ""bo"" in ""boat""",bo,Hiragana ,
ぱ,"""pah"" like ""po"" in ""pond""",pa,Hiragana ,
ぴ,"""pee"" like ""pea"" in ""peace""",pi,Hiragana ,
ぷ,"""poo"" like ""poo"" in ""pool""",pu,Hiragana ,
ぺ,"""peh"" like ""pe"" in ""pen""",pe,Hiragana ,
ぽ,"""poh"" like ""poe""",po,Hiragana ,
ま,"""mah"" like ""ma"" in ""mall""",ma,Hiragana ,
み,"""mee"" like ""me""",mi,Hiragana ,
む,"""moo"" like ""moo"" in ""mood",mu ,Hiragana ,
め,"""meh"" like ""me"" in ""met""",me,Hiragana ,
も,"""moh"" like ""mo"" in ""most""",mo,Hiragana ,
や,"""yah"" like ""ya"" in ""yacht""",ya,Hiragana ,
ゆ,"""yoo"" like ""you""",yu,Hiragana ,
よ,"""yoh"" like ""yo"" in ""yoke""",yo,Hiragana ,
ら,"""rah""",ra,Hiragana ,
り,"""ree""",ri,Hiragana ,
る,"""roo""",ru,Hiragana ,
れ,"""reh""",re,Hiragana ,
ろ,"""roh""",ro,Hiragana ,
わ,"""wa"" like ""wa"" in ""want""",wa,Hiragana ,
を,"""wo"" as in ""won't"" or ""o"" as in ""oat""",(w)o,Hiragana ,
ん,"""n"" ",n/m,Hiragana ,
